0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 2, 1, 1, 0, 0, 2, 7, 1, 1, 3, 5, 1, 1, 0, 0, 0, 1, 0, 5, 2, 2, 1, 2, 3, 3, 0, 0, 1, 0, 0, 0, 1, 0, 0, 3, 4, 2, 4, 0, 0, 0, 1, 2, 2, 0, 0, 1, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 
1, 0, 0, 0, 0, 1, 4, 2, 3, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 2, 1, 0, 0, 0, 1, 0, 0, 0, 4, 0, 2, 1, 2, 1, 0, 0, 2, 1, 0, 8, 3, 1, 2, 2, 1, 0, 1, 9, 2, 1, 3, 11, 1, 1, 0, 1, 2, 0, 4, 8, 1, 1, 0, 2, 0, 1, 0, 5, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 
2, 0, 1, 0, 0, 0, 0, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 2, 1, 1, 3, 2, 1, 4, 1, 3, 2, 4, 3, 4, 4, 2, 3, 1, 1, 2, 1, 1, 0, 0, 0, 0, 0, 1, 0, 2, 4, 6, 0, 0, 2, 5, 1, 5, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 
3, 0, 1, 0, 0, 1, 2, 0, 0, 2, 2, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 3, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 9, 3, 6, 3, 3, 0, 1, 2, 0, 0, 1, 0, 1, 2, 2, 2, 10, 4, 5, 6, 2, 0, 2, 0, 0, 1, 0, 2, 0, 0, 1, 0, 12, 0, 0, 0, 0, 1, 1, 0, 3, 1, 2, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 4, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 
4, 2, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 15, 6, 1, 0, 0, 0, 0, 0, 4, 1, 2, 1, 13, 6, 4, 3, 3, 2, 1, 3, 1, 3, 1, 2, 0, 1, 2, 1, 2, 0, 1, 0, 1, 5, 4, 6, 2, 2, 2, 2, 0, 2, 1, 2, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 2, 2, 2, 2, 0, 1, 1, 0, 0, 0, 0, 0, 2, 1, 0, 0, 1, 0, 1, 0, 17, 0, 1, 2, 3, 6, 1, 0, 4, 4, 4, 3, 6, 2, 4, 1, 1, 1, 0, 3, 4, 0, 1, 1, 4, 1, 2, 2, 0, 0, 0, 2, 0, 2, 3, 4, 1, 2, 1, 0, 2, 5, 1, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 
6, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 1, 0, 0, 1, 1, 1, 1, 3, 3, 6, 1, 4, 1, 3, 5, 10, 2, 2, 2, 3, 4, 5, 3, 2, 6, 6, 3, 1, 2, 1, 2, 1, 0, 1, 0, 1, 0, 3, 1, 21, 6, 1, 0, 2, 8, 4, 4, 4, 2, 0, 3, 7, 2, 1, 0, 1, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 5, 0, 0, 0, 
7, 1, 1, 2, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 2, 1, 1, 2, 4, 9, 4, 4, 10, 6, 5, 4, 21, 6, 2, 0, 0, 2, 1, 3, 6, 7, 3, 3, 3, 3, 1, 0, 3, 3, 1, 0, 1, 4, 3, 4, 24, 2, 3, 3, 5, 6, 3, 2, 2, 4, 2, 2, 11, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 
8, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 6, 14, 7, 5, 4, 5, 2, 5, 9, 8, 2, 4, 2, 1, 0, 2, 1, 1, 2, 3, 1, 1, 0, 0, 3, 0, 1, 3, 5, 6, 5, 4, 26, 0, 1, 1, 4, 4, 9, 2, 1, 2, 1, 2, 12, 0, 0, 0, 11, 1, 6, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 3, 0, 0, 0, 
9, 0, 0, 1, 1, 2, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 1, 0, 1, 0, 1, 0, 0, 0, 7, 11, 7, 10, 3, 4, 5, 7, 25, 2, 4, 1, 3, 2, 2, 1, 6, 0, 3, 3, 0, 2, 0, 0, 0, 0, 0, 0, 1, 1, 3, 2, 20, 3, 2, 0, 8, 6, 2, 5, 0, 0, 0, 0, 4, 2, 2, 1, 2, 4, 3, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 
